start_radius,end_radius,angle,switch_length
30,50,80,59.139983419378722829
35,55,90,73.062075659429268626
50,70,80,85.834968382374768225
55,35,90,73.059669917775721615
60,80,45,58.503066752223162439
70,50,60,65.880506105711560849
70,50,80,85.832707586219100904
70,90,60,86.042955492246292692
80,60,45,58.501693202337413879
80,100,45,73.448262456320378533
90,70,60,86.041132975104332559
90,110,45,81.029484142008129766
100,80,45,73.446849781627022935
100,120,45,88.658173653634833045
110,90,45,81.028059516718599298
120,100,45,88.656740012435193421
180,200,22.5,77.255183366417071511
190,210,22.5,81.054652206374470325
200,180,22.5,77.25443789318353538
210,190,22.5,81.053904159305176336
